Prime: 7, Epochs: 6000

Epoch 0/6000, Loss: 0.458806
Epoch 100/6000, Loss: 0.109931
Epoch 200/6000, Loss: 0.093192
Epoch 300/6000, Loss: 0.082108
Epoch 400/6000, Loss: 0.076253
Epoch 500/6000, Loss: 0.074259
Epoch 600/6000, Loss: 0.071885
Epoch 700/6000, Loss: 0.068669
Epoch 800/6000, Loss: 0.065432
Epoch 900/6000, Loss: 0.062252
Epoch 1000/6000, Loss: 0.059029
Epoch 1100/6000, Loss: 0.056215
Epoch 1200/6000, Loss: 0.053657
Epoch 1300/6000, Loss: 0.051293
Epoch 1400/6000, Loss: 0.049148
Epoch 1500/6000, Loss: 0.046959
Epoch 1600/6000, Loss: 0.044697
Epoch 1700/6000, Loss: 0.042392
Epoch 1800/6000, Loss: 0.040069
Epoch 1900/6000, Loss: 0.037747
Epoch 2000/6000, Loss: 0.035425
Epoch 2100/6000, Loss: 0.033062
Epoch 2200/6000, Loss: 0.030645
Epoch 2300/6000, Loss: 0.028189
Epoch 2400/6000, Loss: 0.025728
Epoch 2500/6000, Loss: 0.023229
Epoch 2600/6000, Loss: 0.020854
Epoch 2700/6000, Loss: 0.018652
Epoch 2800/6000, Loss: 0.016597
Epoch 2900/6000, Loss: 0.014643
Epoch 3000/6000, Loss: 0.012791
Epoch 3100/6000, Loss: 0.011065
Epoch 3200/6000, Loss: 0.009469
Epoch 3300/6000, Loss: 0.008009
Epoch 3400/6000, Loss: 0.006695
Epoch 3500/6000, Loss: 0.005560
Epoch 3600/6000, Loss: 0.004577
Epoch 3700/6000, Loss: 0.003713
Epoch 3800/6000, Loss: 0.002893
Epoch 3900/6000, Loss: 0.002249
Epoch 4000/6000, Loss: 0.001699
Epoch 4100/6000, Loss: 0.001268
Epoch 4200/6000, Loss: 0.000942
Epoch 4300/6000, Loss: 0.000688
Epoch 4400/6000, Loss: 0.000497
Epoch 4500/6000, Loss: 0.000356
Epoch 4600/6000, Loss: 0.000253
Epoch 4700/6000, Loss: 0.000180
Epoch 4800/6000, Loss: 0.000129
Epoch 4900/6000, Loss: 0.000093
Epoch 5000/6000, Loss: 0.000069
Epoch 5100/6000, Loss: 0.000052
Epoch 5200/6000, Loss: 0.000041
Epoch 5300/6000, Loss: 0.000032
Epoch 5400/6000, Loss: 0.000026
Epoch 5500/6000, Loss: 0.000022
Epoch 5600/6000, Loss: 0.000019
Epoch 5700/6000, Loss: 0.000016
Epoch 5800/6000, Loss: 0.000014
Epoch 5900/6000, Loss: 0.000012
Epoch 5999/6000, Loss: 0.000010

Accuracy: 100.00% (100/100)

Test Results:
Input: (5, 2) | Target: 0 | Predicted: 0
Input: (4, 0) | Target: 4 | Predicted: 4
Input: (1, 5) | Target: 6 | Predicted: 6
Input: (1, 5) | Target: 6 | Predicted: 6
Input: (2, 4) | Target: 6 | Predicted: 6
Input: (3, 4) | Target: 0 | Predicted: 0
Input: (0, 5) | Target: 5 | Predicted: 5
Input: (5, 3) | Target: 1 | Predicted: 1
Input: (6, 4) | Target: 3 | Predicted: 3
Input: (0, 2) | Target: 2 | Predicted: 2
Input: (4, 3) | Target: 0 | Predicted: 0
Input: (2, 5) | Target: 0 | Predicted: 0
Input: (4, 2) | Target: 6 | Predicted: 6
Input: (1, 2) | Target: 3 | Predicted: 3
Input: (6, 5) | Target: 4 | Predicted: 4
Input: (1, 1) | Target: 2 | Predicted: 2
Input: (2, 0) | Target: 2 | Predicted: 2
Input: (4, 1) | Target: 5 | Predicted: 5
Input: (4, 5) | Target: 2 | Predicted: 2
Input: (3, 1) | Target: 4 | Predicted: 4
Input: (6, 4) | Target: 3 | Predicted: 3
Input: (2, 0) | Target: 2 | Predicted: 2
Input: (5, 5) | Target: 3 | Predicted: 3
Input: (4, 5) | Target: 2 | Predicted: 2
Input: (1, 0) | Target: 1 | Predicted: 1
Input: (4, 4) | Target: 1 | Predicted: 1
Input: (1, 5) | Target: 6 | Predicted: 6
Input: (6, 3) | Target: 2 | Predicted: 2
Input: (0, 3) | Target: 3 | Predicted: 3
Input: (0, 3) | Target: 3 | Predicted: 3
Input: (6, 0) | Target: 6 | Predicted: 6
Input: (4, 3) | Target: 0 | Predicted: 0
